,Start,End,DeltaBz,Duration
274,2017-08-06 20:39:51.250,2017-08-06 20:39:53.250,-8.091285,2.0
275,2017-08-06 20:48:15.750,2017-08-06 20:48:18.250,2.3698256,2.5
276,2017-08-06 21:28:48.750,2017-08-06 21:28:52.750,-9.363571,4.0
277,2017-08-07 08:32:39.250,2017-08-07 08:32:44.250,5.0874157,5.0
278,2017-08-07 11:03:53.250,2017-08-07 11:03:58.250,-6.3953404,5.0
279,2017-08-07 15:59:48.250,2017-08-07 15:59:58.750,3.9209409,10.5
280,2017-08-07 16:01:23.250,2017-08-07 16:01:42.750,7.179,19.5
281,2017-08-07 16:02:18.750,2017-08-07 16:02:31.750,8.4225025,13.0
282,2017-08-07 16:03:02.250,2017-08-07 16:03:05.750,8.69443,3.5
283,2017-08-07 16:03:05.750,2017-08-07 16:03:08.750,-3.1320684,3.0
284,2017-08-07 17:06:00.250,2017-08-07 17:06:19.250,3.6827087,19.0
285,2017-08-08 17:30:20.250,2017-08-08 17:30:25.750,-1.3327748,5.5
286,2017-08-09 14:24:45.750,2017-08-09 14:24:57.750,4.33812,12.0
287,2017-08-09 16:34:18.750,2017-08-09 16:34:24.750,7.548234,6.0
288,2017-08-09 16:36:10.750,2017-08-09 16:36:12.750,-1.0631526,2.0
289,2017-08-09 16:38:34.250,2017-08-09 16:38:37.250,2.9861794,3.0
290,2017-08-09 16:38:47.250,2017-08-09 16:38:52.250,3.2204719,5.0
291,2017-08-09 17:00:19.250,2017-08-09 17:00:21.750,-2.4416215,2.5
292,2017-08-09 17:39:23.250,2017-08-09 17:39:30.250,5.772951,7.0
293,2017-08-09 17:39:30.250,2017-08-09 17:39:38.750,-7.7875657,8.5
294,2017-08-09 20:15:26.250,2017-08-09 20:15:32.250,9.473482,6.0
295,2017-08-10 08:19:41.750,2017-08-10 08:19:51.250,-3.5085754,9.5
296,2017-08-10 10:04:19.250,2017-08-10 10:04:24.250,-2.7305472,5.0
297,2017-08-10 10:40:07.750,2017-08-10 10:40:12.750,8.871681,5.0
298,2017-08-10 10:51:12.250,2017-08-10 10:51:14.250,-19.709314,2.0
299,2017-08-10 12:19:01.250,2017-08-10 12:19:03.250,-5.6613812,2.0
300,2017-08-10 12:22:45.250,2017-08-10 12:22:54.750,4.201084,9.5
