,Start,End,DeltaBz,Duration
206,2017-08-12 06:36:20.750,2017-08-12 06:36:36.750,2.144666,16.0
207,2017-08-18 10:19:52.250,2017-08-18 10:19:55.250,3.0666587,3.0
208,2017-08-18 10:26:51.250,2017-08-18 10:27:04.750,-4.3631535,13.5
209,2017-08-18 17:10:12.750,2017-08-18 17:10:16.250,3.6959555,3.5
210,2017-08-18 18:01:21.250,2017-08-18 18:01:24.250,-4.959664,3.0
211,2017-08-21 00:36:39.750,2017-08-21 00:36:43.250,9.895713,3.5
212,2017-08-21 06:30:49.250,2017-08-21 06:30:52.250,3.8018696,3.0
213,2017-08-21 06:32:36.750,2017-08-21 06:32:38.750,2.9083,2.0
214,2017-08-21 06:32:40.250,2017-08-21 06:32:42.750,-2.1993153,2.5
215,2017-08-21 06:33:15.250,2017-08-21 06:33:18.750,-2.6390102,3.5
216,2017-08-21 08:14:33.750,2017-08-21 08:14:39.250,-2.3225498,5.5
217,2017-08-21 08:15:46.250,2017-08-21 08:15:48.250,5.1196737,2.0
218,2017-08-21 11:19:37.750,2017-08-21 11:19:47.250,-1.8920817,9.5
219,2017-08-21 11:35:35.250,2017-08-21 11:35:48.750,6.9687023,13.5
220,2017-08-21 11:36:04.250,2017-08-21 11:36:07.250,-2.3478339,3.0
221,2017-08-21 12:19:59.250,2017-08-21 12:20:10.750,3.1630545,11.5
222,2017-08-21 17:10:30.750,2017-08-21 17:10:34.750,5.3509235,4.0
223,2017-08-24 05:09:37.250,2017-08-24 05:09:39.250,-8.796696,2.0
224,2017-08-24 06:31:45.750,2017-08-24 06:31:47.750,-7.063051,2.0
225,2017-08-24 07:54:47.750,2017-08-24 07:54:49.250,3.802606,1.5
226,2017-08-24 08:00:15.750,2017-08-24 08:00:20.250,13.727869,4.5
227,2017-08-24 08:05:12.250,2017-08-24 08:05:14.750,10.172811,2.5
228,2017-08-24 08:32:14.750,2017-08-24 08:32:18.750,3.8980763,4.0
229,2017-08-24 08:39:40.250,2017-08-24 08:40:00.750,17.352114,20.5
230,2017-08-27 10:30:45.750,2017-08-27 10:30:56.250,7.479665,10.5
231,2017-09-04 14:46:37.750,2017-09-04 14:46:38.750,-5.3544188,1.0
232,2017-09-04 14:50:20.750,2017-09-04 14:50:33.750,-6.7616525,13.0
233,2017-09-07 08:47:37.250,2017-09-07 08:47:38.750,-5.3740344,1.5
234,2017-09-07 08:49:08.250,2017-09-07 08:49:12.250,-3.4133048,4.0
235,2017-09-07 09:05:43.250,2017-09-07 09:05:57.750,6.4930477,14.5
236,2017-09-07 09:17:09.750,2017-09-07 09:17:13.250,-3.7587564,3.5
237,2017-09-07 09:45:04.250,2017-09-07 09:45:19.750,11.055135,15.5
238,2017-09-07 10:44:37.750,2017-09-07 10:44:41.250,14.837065,3.5
239,2017-09-07 10:44:45.250,2017-09-07 10:44:50.250,9.558553,5.0
240,2017-09-15 19:22:37.750,2017-09-15 19:22:44.750,-11.824814,7.0
241,2017-09-15 21:27:26.750,2017-09-15 21:27:29.250,5.898668,2.5
242,2018-05-22 15:42:47.250,2018-05-22 15:42:49.750,5.690411,2.5
243,2018-06-02 18:29:42.750,2018-06-02 18:29:49.750,7.133908,7.0
244,2018-06-02 18:57:23.250,2018-06-02 18:57:25.250,-22.13306,2.0
245,2018-06-02 19:13:51.750,2018-06-02 19:14:07.750,16.842968,16.0
246,2018-06-11 02:06:07.750,2018-06-11 02:06:15.750,3.609056,8.0
247,2018-06-13 23:37:29.250,2018-06-13 23:37:51.750,8.336202,22.5
248,2018-06-14 03:52:38.750,2018-06-14 03:52:46.250,-5.4218616,7.5
249,2018-06-16 23:07:19.750,2018-06-16 23:07:36.250,1.1844422,16.5
250,2018-06-22 13:44:54.250,2018-06-22 13:45:03.750,-1.7765431,9.5
251,2018-06-22 13:49:02.250,2018-06-22 13:49:06.250,-6.079121,4.0
252,2018-06-22 14:34:41.750,2018-06-22 14:34:46.250,-4.3650475,4.5
253,2018-06-28 18:22:54.250,2018-06-28 18:23:02.750,-4.069611,8.5
254,2018-06-28 18:27:54.750,2018-06-28 18:28:13.750,5.218846,19.0
255,2018-07-02 00:14:57.250,2018-07-02 00:15:03.750,2.216992,6.5
256,2018-07-03 15:51:54.250,2018-07-03 15:51:56.750,-26.68851,2.5
257,2018-07-03 22:00:15.750,2018-07-03 22:00:19.750,4.216383,4.0
258,2018-07-09 11:06:02.750,2018-07-09 11:06:07.750,-4.5096807,5.0
259,2018-07-17 20:10:07.750,2018-07-17 20:10:23.250,4.0490227,15.5
260,2018-07-18 23:10:45.750,2018-07-18 23:10:52.750,-2.0625474,7.0
261,2018-07-23 10:00:39.250,2018-07-23 10:00:45.750,-2.5237966,6.5
